Correct Order,Num Statements,Statement 1,Statement 2,Statement 3,Statement 4,Statement 5,front_end,style,instruction
"Brown,Tom,Mia,David,May,Bob",5,Bob is taller than May,There are 4 people taller than Tom,David is taller than Mia,David is somewhere between Tom and May,Mia is taller than Brown,"short, tall","['dotted circles', 'horizontal lines', 'horizontal stripes', 'blank', 'diagonal stripes', 'vertical lines']",Determine the height order of the people from shortest to tallest using the given statements.
"Brown,May,Bob,David,Mia,Tom",5,David is somewhere between Bob and Mia,There are 2 people shorter than Bob,Mia is not the tallest,May is shorter than Bob,May is taller than Brown,"short, tall","['dotted circles', 'horizontal stripes', 'diagonal stripes', 'blank', 'horizontal lines', 'vertical lines']",Determine the height order of the people from shortest to tallest using the given statements.
"May,David,Mia,Tom,Bob,Brown",5,Tom is at position 4,David is shorter than Mia,Bob is shorter than Brown,David is taller than May,Tom is taller than Mia,"short, tall","['dotted circles', 'horizontal lines', 'blank', 'vertical lines', 'horizontal stripes', 'diagonal stripes']",Determine the height order of the people from shortest to tallest using the given statements.
"Tom,David,Mia,Bob,Brown,May",5,David is shorter than Bob,Bob is shorter than Brown,Mia is at position 3,David is taller than Tom,Brown is shorter than May,"short, tall","['dotted circles', 'blank', 'diagonal stripes', 'horizontal lines', 'horizontal stripes', 'vertical lines']",Determine the height order of the people from shortest to tallest using the given statements.
"blue book,yellow book,black book,red book,white book,orange book",5,orange book is more expensive than red book,yellow book is exactly 2 ranks cheaper than red book,blue book is exactly 4 ranks cheaper than white book,blue book is cheaper than at least 4 books,yellow book is not the cheapest,"cheap, expensive","['dotted circles', 'horizontal lines', 'diagonal stripes', 'blank', 'horizontal stripes', 'vertical lines']",Determine the price order of the colored books from cheapest to most expensive using the given statements.
"Jacob,Jennifer,Paul,Thomas,Linda,Eric",5,Linda is younger than Eric,Paul is older than Jennifer,There are 3 people older than Paul,Jennifer is older than Jacob,Thomas is younger than Linda,"young, old","['dotted circles', 'horizontal stripes', 'vertical lines', 'blank', 'horizontal lines', 'diagonal stripes']",Determine the age order of the people from youngest to oldest using the given statements.
"Eric,Jacob,Jennifer,Paul,Thomas,Linda",5,There are 4 people younger than Thomas,Paul is somewhere between Thomas and Jennifer,Linda is older than Jacob,Jacob is older than Eric,Jennifer is older than Jacob,"young, old","['dotted circles', 'horizontal stripes', 'horizontal lines', 'diagonal stripes', 'blank', 'vertical lines']",Determine the age order of the people from youngest to oldest using the given statements.
"yellow book,black book,orange book,red book,white book,blue book",5,black book is cheaper than orange book,There are 3 books cheaper than red book,orange book is located exactly midway between yellow book and white book,orange book is exactly 2 ranks cheaper than white book,orange book is cheaper than at least 3 books,"cheap, expensive","['dotted circles', 'horizontal stripes', 'vertical lines', 'blank', 'diagonal stripes', 'horizontal lines']",Determine the price order of the colored books from cheapest to most expensive using the given statements.
"Paul,Thomas,Jacob,Linda,Jennifer,Eric",5,Linda is older than Jacob,There are 3 people younger than Linda,Thomas is younger than Jacob,Thomas is older than Paul,Eric is older than Jennifer,"young, old","['dotted circles', 'horizontal stripes', 'horizontal lines', 'blank', 'diagonal stripes', 'vertical lines']",Determine the age order of the people from youngest to oldest using the given statements.
"F,A,E,B,D,C",5,B is ahead of C,C is not next to B,There are 3 people behind E,F is ahead of B,A is somewhere between E and F,"front, end","['dotted circles', 'diagonal stripes', 'horizontal stripes', 'blank', 'horizontal lines', 'vertical lines']",Determine the front-to-back order of the people using the given statements.
"orange book,yellow book,red book,white book,black book,blue book",5,red book is exactly 3 ranks cheaper than blue book,black book is more expensive than orange book,orange book is the cheapest,yellow book is cheaper than at least 4 books,red book is exactly 2 ranks cheaper than black book,"cheap, expensive","['dotted circles', 'diagonal stripes', 'horizontal stripes', 'blank', 'horizontal lines', 'vertical lines']",Determine the price order of the colored books from cheapest to most expensive using the given statements.
"Linda,Thomas,Jennifer,Eric,Jacob,Paul",5,There are 4 people younger than Jacob,Jennifer is younger than Eric,Eric is somewhere between Jacob and Linda,Thomas is older than Linda,Jennifer is older than Thomas,"young, old","['dotted circles', 'diagonal stripes', 'horizontal lines', 'blank', 'vertical lines', 'horizontal stripes']",Determine the age order of the people from youngest to oldest using the given statements.
"dog,cat,bird,rabbit,horse,goat",5,dog's cage is exactly 2 positions ahead of bird's,cat's cage is exactly 4 positions ahead of goat's,bird is ahead of horse,There are 4 animals ahead of horse,cat is not next to rabbit,"front, end","['dotted circles', 'diagonal stripes', 'horizontal stripes', 'blank', 'vertical lines', 'horizontal lines']",Determine the front-to-back cage order of the animals using the given statements.
"horse,dog,rabbit,cat,bird,goat",5,goat is not next to rabbit,horse is at position 1,rabbit is behind dog,goat is not next to horse,rabbit's cage is exactly 2 positions ahead of bird's,"front, end","['dotted circles', 'horizontal stripes', 'diagonal stripes', 'blank', 'horizontal lines', 'vertical lines']",Determine the front-to-back cage order of the animals using the given statements.
"white book,blue book,orange book,black book,red book,yellow book",5,orange book is located exactly midway between white book and red book,black book is more expensive than white book,orange book is exactly 2 ranks cheaper than red book,There are 5 books cheaper than yellow book,blue book is cheaper than orange book,"cheap, expensive","['dotted circles', 'horizontal stripes', 'horizontal lines', 'blank', 'vertical lines', 'diagonal stripes']",Determine the price order of the colored books from cheapest to most expensive using the given statements.
"horse,bird,rabbit,cat,goat,dog",5,horse's cage is exactly 5 positions ahead of dog's,bird's cage is ahead of at least 4 animals',goat is behind rabbit,rabbit's cage is exactly 2 positions ahead of goat's,There are 3 animals behind rabbit,"front, end","['dotted circles', 'horizontal lines', 'horizontal stripes', 'blank', 'diagonal stripes', 'vertical lines']",Determine the front-to-back cage order of the animals using the given statements.
"Paul,Jennifer,Jacob,Thomas,Eric,Linda",5,Linda is older than Eric,Thomas is somewhere between Eric and Jennifer,Jennifer is older than Paul,Thomas is older than Jacob,Jennifer is younger than Jacob,"young, old","['dotted circles', 'horizontal stripes', 'horizontal lines', 'blank', 'diagonal stripes', 'vertical lines']",Determine the age order of the people from youngest to oldest using the given statements.
"goat,horse,bird,dog,cat,rabbit",5,horse is not in the last cage,bird's cage is exactly 3 positions ahead of rabbit's,rabbit is behind dog,horse's cage is exactly 2 positions ahead of dog's,There are 5 animals behind goat,"front, end","['vertical lines', 'horizontal stripes', 'dotted circles', 'blank', 'horizontal lines', 'diagonal stripes']",Determine the front-to-back cage order of the animals using the given statements.
"goat,cat,bird,dog,horse,rabbit",5,dog is behind cat,cat's cage is exactly 2 positions ahead of dog's,goat is in the first cage,bird's cage is exactly 3 positions ahead of rabbit's,horse is not next to bird,"front, end","['dotted circles', 'horizontal stripes', 'diagonal stripes', 'blank', 'vertical lines', 'horizontal lines']",Determine the front-to-back cage order of the animals using the given statements.
"D,B,C,E,A,F",5,There are 4 people behind B,A is somewhere between F and B,B is not next to E,D is ahead of C,E is somewhere between A and B,"front, end","['dotted circles', 'vertical lines', 'horizontal stripes', 'blank', 'diagonal stripes', 'horizontal lines']",Determine the front-to-back order of the people using the given statements.
"May,David,Tom,Mia,Brown,Bob",5,David is taller than May,Brown is not the tallest,Tom is shorter than Mia,Tom is taller than David,Mia is shorter than Brown,"short, tall","['dotted circles', 'horizontal stripes', 'horizontal lines', 'blank', 'diagonal stripes', 'vertical lines']",Determine the height order of the people from shortest to tallest using the given statements.
"horse,dog,bird,goat,rabbit,cat",5,dog's cage is ahead of at least 4 animals',horse's cage is exactly 5 positions ahead of cat's,bird is not next to rabbit,rabbit is at position 5,dog is ahead of cat,"front, end","['dotted circles', 'diagonal stripes', 'blank', 'vertical lines', 'horizontal stripes', 'horizontal lines']",Determine the front-to-back cage order of the animals using the given statements.
"A,D,B,F,E,C",5,F is ahead of E,D is behind A,C is behind E,There are 4 people behind D,B is ahead of F,"front, end","['dotted circles', 'diagonal stripes', 'horizontal lines', 'blank', 'horizontal stripes', 'vertical lines']",Determine the front-to-back order of the people using the given statements.
"rabbit,goat,cat,bird,dog,horse",5,horse is not next to cat,bird's cage is exactly 2 positions ahead of horse's,rabbit's cage is exactly 3 positions ahead of bird's,goat is not next to bird,rabbit is not next to dog,"front, end","['dotted circles', 'horizontal stripes', 'horizontal lines', 'blank', 'diagonal stripes', 'vertical lines']",Determine the front-to-back cage order of the animals using the given statements.
"D,E,C,B,F,A",5,A is the last,E is ahead of B,F is behind B,B is not next to E,D is ahead of E,"front, end","['dotted circles', 'horizontal stripes', 'diagonal stripes', 'blank', 'horizontal lines', 'vertical lines']",Determine the front-to-back order of the people using the given statements.
"Tom,Mia,Brown,May,Bob,David",5,Brown is taller than Mia,Bob is taller than May,Brown is shorter than May,Tom is at position 1,David is taller than Bob,"short, tall","['dotted circles', 'horizontal lines', 'horizontal stripes', 'blank', 'diagonal stripes', 'vertical lines']",Determine the height order of the people from shortest to tallest using the given statements.
"David,Brown,May,Mia,Bob,Tom",5,Brown is shorter than May,There are 5 people shorter than Tom,David is shorter than Brown,Mia is shorter than Bob,May is shorter than Mia,"short, tall","['dotted circles', 'diagonal stripes', 'horizontal stripes', 'blank', 'horizontal lines', 'vertical lines']",Determine the height order of the people from shortest to tallest using the given statements.
"red book,blue book,orange book,yellow book,black book,white book",5,yellow book is at position 4,red book is exactly 2 ranks cheaper than orange book,blue book is not the cheapest,black book is more expensive than orange book,blue book is exactly 3 ranks cheaper than black book,"cheap, expensive","['dotted circles', 'horizontal lines', 'horizontal stripes', 'blank', 'diagonal stripes', 'vertical lines']",Determine the price order of the colored books from cheapest to most expensive using the given statements.
"goat,rabbit,horse,cat,dog,bird",5,horse is ahead of bird,goat's cage is exactly 3 positions ahead of cat's,bird is not next to rabbit,horse's cage is exactly 2 positions ahead of dog's,goat is not next to dog,"front, end","['dotted circles', 'horizontal stripes', 'vertical lines', 'blank', 'diagonal stripes', 'horizontal lines']",Determine the front-to-back cage order of the animals using the given statements.
"dog,horse,rabbit,bird,cat,goat",5,There are 2 animals ahead of rabbit,dog's cage is ahead of at least 5 animals',cat is not next to horse,bird's cage is exactly 2 positions ahead of goat's,horse is ahead of bird,"front, end","['dotted circles', 'horizontal stripes', 'diagonal stripes', 'blank', 'horizontal lines', 'vertical lines']",Determine the front-to-back cage order of the animals using the given statements.
"white book,red book,orange book,blue book,yellow book,black book",5,white book is exactly 3 ranks cheaper than blue book,white book is exactly 4 ranks cheaper than yellow book,white book is cheaper than at least 5 books,yellow book is more expensive than orange book,red book is cheaper than orange book,"cheap, expensive","['dotted circles', 'diagonal stripes', 'horizontal lines', 'blank', 'horizontal stripes', 'vertical lines']",Determine the price order of the colored books from cheapest to most expensive using the given statements.
"yellow book,white book,orange book,red book,blue book,black book",5,white book is cheaper than blue book,white book is exactly 4 ranks cheaper than black book,There are 4 books cheaper than blue book,yellow book is exactly 3 ranks cheaper than red book,orange book is located exactly midway between yellow book and blue book,"cheap, expensive","['dotted circles', 'vertical lines', 'horizontal stripes', 'blank', 'horizontal lines', 'diagonal stripes']",Determine the price order of the colored books from cheapest to most expensive using the given statements.
"orange book,red book,black book,white book,blue book,yellow book",5,white book is exactly 2 ranks cheaper than yellow book,red book is exactly 3 ranks cheaper than blue book,yellow book is the most expensive,orange book is cheaper than blue book,black book is more expensive than red book,"cheap, expensive","['horizontal stripes', 'dotted circles', 'diagonal stripes', 'blank', 'horizontal lines', 'vertical lines']",Determine the price order of the colored books from cheapest to most expensive using the given statements.
"horse,rabbit,cat,bird,dog,goat",5,horse is not next to goat,rabbit's cage is exactly 4 positions ahead of goat's,dog is at position 5,horse is not next to dog,cat's cage is exactly 3 positions ahead of goat's,"front, end","['diagonal stripes', 'horizontal stripes', 'vertical lines', 'blank', 'horizontal lines', 'dotted circles']",Determine the front-to-back cage order of the animals using the given statements.
"bird,cat,rabbit,horse,dog,goat",5,bird's cage is exactly 4 positions ahead of dog's,rabbit is ahead of horse,There are 2 animals behind horse,rabbit is ahead of goat,rabbit is not next to bird,"front, end","['dotted circles', 'blank', 'horizontal lines', 'diagonal stripes', 'horizontal stripes', 'vertical lines']",Determine the front-to-back cage order of the animals using the given statements.
"bird,dog,goat,horse,rabbit,cat",5,dog is behind bird,bird's cage is exactly 3 positions ahead of horse's,goat is not in the last cage,There are 4 animals behind dog,bird's cage is exactly 4 positions ahead of rabbit's,"front, end","['dotted circles', 'blank', 'vertical lines', 'horizontal lines', 'diagonal stripes', 'horizontal stripes']",Determine the front-to-back cage order of the animals using the given statements.
"C,A,F,D,B,E",5,A is behind C,E is behind D,A is at position 2,D is behind F,E is not next to D,"front, end","['dotted circles', 'horizontal lines', 'diagonal stripes', 'blank', 'horizontal stripes', 'vertical lines']",Determine the front-to-back order of the people using the given statements.
"E,D,C,B,F,A",5,E is not next to C,E is ahead of C,C is ahead of F,F is ahead of A,There are 2 people behind B,"front, end","['vertical lines', 'horizontal lines', 'dotted circles', 'blank', 'horizontal stripes', 'diagonal stripes']",Determine the front-to-back order of the people using the given statements.
"Paul,Jacob,Thomas,Eric,Jennifer,Linda",5,Jacob is not the youngest,Jennifer is somewhere between Linda and Thomas,Eric is somewhere between Thomas and Jennifer,Paul is younger than Jennifer,There are 2 people younger than Thomas,"young, old","['vertical lines', 'dotted circles', 'horizontal stripes', 'blank', 'diagonal stripes', 'horizontal lines']",Determine the age order of the people from youngest to oldest using the given statements.
"Linda,Thomas,Eric,Jennifer,Jacob,Paul",5,Eric is somewhere between Thomas and Jacob,There are 3 people younger than Jennifer,Thomas is younger than Eric,Thomas is not the youngest,Jacob is younger than Paul,"young, old","['horizontal lines', 'blank', 'vertical lines', 'dotted circles', 'horizontal stripes', 'diagonal stripes']",Determine the age order of the people from youngest to oldest using the given statements.
"A,C,B,E,D,F",5,C is behind A,There are 2 people in front of B,F is not next to C,E is not next to F,E is somewhere between B and F,"front, end","['dotted circles', 'horizontal lines', 'blank', 'diagonal stripes', 'vertical lines', 'horizontal stripes']",Determine the front-to-back order of the people using the given statements.
"blue book,orange book,white book,black book,red book,yellow book",5,blue book is cheaper than red book,white book is exactly 2 ranks cheaper than red book,There are 3 books cheaper than black book,orange book is exactly 3 ranks cheaper than red book,black book is not the cheapest,"cheap, expensive","['dotted circles', 'horizontal lines', 'horizontal stripes', 'blank', 'diagonal stripes', 'vertical lines']",Determine the price order of the colored books from cheapest to most expensive using the given statements.
"D,F,A,E,B,C",5,F is not next to E,F is somewhere between D and B,F is not next to B,There are 3 people in front of E,C is not next to E,"front, end","['dotted circles', 'horizontal stripes', 'diagonal stripes', 'blank', 'horizontal lines', 'vertical lines']",Determine the front-to-back order of the people using the given statements.
"yellow book,blue book,black book,white book,orange book,red book",5,yellow book is exactly 2 ranks cheaper than black book,yellow book is cheaper than orange book,white book is more expensive than black book,orange book is cheaper than red book,orange book is more expensive than white book,"cheap, expensive","['dotted circles', 'horizontal stripes', 'diagonal stripes', 'blank', 'horizontal lines', 'vertical lines']",Determine the price order of the colored books from cheapest to most expensive using the given statements.
"Eric,Jacob,Paul,Jennifer,Linda,Thomas",5,Jennifer is older than Paul,Jennifer is younger than Linda,Paul is older than Jacob,Eric is younger than Jacob,Linda is somewhere between Thomas and Jennifer,"young, old","['diagonal stripes', 'horizontal stripes', 'dotted circles', 'blank', 'horizontal lines', 'vertical lines']",Determine the age order of the people from youngest to oldest using the given statements.
"Bob,David,Brown,May,Mia,Tom",5,Mia is shorter than Tom,There are 4 people taller than David,May is taller than Brown,David is taller than Bob,May is shorter than Mia,"short, tall","['dotted circles', 'horizontal lines', 'horizontal stripes', 'diagonal stripes', 'blank', 'vertical lines']",Determine the height order of the people from shortest to tallest using the given statements.
"cat,bird,dog,rabbit,goat,horse",5,dog is not next to horse,bird's cage is exactly 4 positions ahead of horse's,dog is behind cat,cat's cage is exactly 2 positions ahead of dog's,goat is not next to dog,"front, end","['dotted circles', 'horizontal stripes', 'horizontal lines', 'blank', 'diagonal stripes', 'vertical lines']",Determine the front-to-back cage order of the animals using the given statements.
"horse,goat,dog,bird,rabbit,cat",5,rabbit is ahead of cat,goat's cage is exactly 3 positions ahead of rabbit's,bird is at position 4,bird is ahead of cat,dog is behind goat,"front, end","['dotted circles', 'horizontal lines', 'vertical lines', 'blank', 'diagonal stripes', 'horizontal stripes']",Determine the front-to-back cage order of the animals using the given statements.
"Eric,Jennifer,Jacob,Paul,Linda,Thomas",5,Jacob is younger than Paul,Thomas is older than Paul,Linda is somewhere between Thomas and Paul,Eric is younger than Jennifer,There are 2 people younger than Jacob,"young, old","['dotted circles', 'diagonal stripes', 'horizontal lines', 'blank', 'horizontal stripes', 'vertical lines']",Determine the age order of the people from youngest to oldest using the given statements.
"dog,rabbit,horse,goat,bird,cat",5,rabbit's cage is exactly 4 positions ahead of cat's,rabbit is ahead of cat,horse is not next to bird,rabbit is not next to bird,There are 5 animals behind dog,"front, end","['dotted circles', 'vertical lines', 'horizontal stripes', 'diagonal stripes', 'horizontal lines', 'blank']",Determine the front-to-back cage order of the animals using the given statements.
